DefaultSC.ElapsedSecs     DefaultSC.Earth.Latitude   DefaultSC.Earth.Longitude   
0                         -0.007979973384190429      -112.9743131515938          
0.9999999194405973        0.04313476359972113        -112.9382513964929          
2.000000153202564         0.09424948947917487        -112.9021895800702          
3.000000072643161         0.1453642141719354         -112.8661276362526          
3.999999992083758         0.1964788520004583         -112.8300655029137          
4.999999911524355         0.2475934001894714         -112.7940031166076          
6.000000145286322         0.2987078325596931         -112.7579404152025          
7.000000064726919         0.3498221229311162         -112.7218773326231          
7.999999984167516         0.4009362451228813         -112.6858138067332          
8.999999903608114         0.4520501729531296         -112.649749774087           
10.00000013737008         0.5031638802388695         -112.6136851725408          
11.00000005681068         0.5542773407958279         -112.5776199360126          
11.99999997625127         0.6053905284383246         -112.5415540023582          
12.99999989569187         0.6565034169791261         -112.5054873081149          
14.00000012945384         0.7076159802293086         -112.4694197911355          
15.00000004889444         0.7587281919981135         -112.4333513853219          
15.99999996833503         0.8098400260928198         -112.3972820285162          
16.99999988777563         0.8609514563185972         -112.3612116572423          
18.0000001215376          0.9120624564783708         -112.3251402093321          
19.00000004097819         0.963173000372674          -112.2890676186753          
19.99999996041879         1.014283061799525          -112.2529938230959          
20.99999987985939         1.065392614554272          -112.216918759095           
22.00000011362135         1.116501632429468          -112.1808423644858          
23.00000003306195         1.167610089214719          -112.1447645731366          
23.99999995250255         1.218717958696552          -112.1086853228469          
24.99999987194315         1.26982521465828           -112.0726045500976          
26.00000010570511         1.320931830879854          -112.0365221926769          
27.00000002514571         1.372037781137725          -112.0004381844239          
27.99999994458631         1.423143039204714          -111.964352463113           
28.9999998640269          1.474247578849864          -111.9282649651967          
30.00000009778887         1.525351373838304          -111.8921756284325          
31.00000001722947         1.576454397931106          -111.8560843866325          
31.99999993667007         1.627556624885151          -111.8199911775378          
32.99999985611066         1.678658028452992          -111.7838959375687          
34.00000008987263         1.729758582382704          -111.747798604449           
35.00000000931323         1.780858260417749          -111.711699111956           
35.99999992875382         1.831957036296848          -111.6755973977952          
36.99999984819442         1.883054883753822          -111.6394933983497          
38.00000008195639         1.934151776517471          -111.6033870513073          
39.00000000139698         1.985247688311416          -111.5672782904026          
39.99999992083758         2.036342592853976          -111.5311670533027          
41.00000015459955         2.087436463858023          -111.495053277662           
42.00000007404015         2.138529275030833          -111.458936897188           
42.99999999348074         2.18962100007396           -111.4228178495098          
43.99999991292134         2.240711612683089          -111.3866960709371          
45.00000014668331         2.2918010865479            -111.3505714990788          
46.0000000661239          2.342889395351916          -111.3144440675938          
46.9999999855645          2.39397651277238           -111.2783137140666          
47.9999999050051          2.44506241248011           -111.2421803747563          
49.00000013876706         2.496147068139348          -111.2060439872217          
50.00000005820766         2.547230453407631          -111.1699044850722          
50.99999997764826         2.59831254193565           -111.1337618058367          
51.99999989708886         2.649393307367105          -111.0976158857208          
53.00000013085082         2.700472723338569          -111.0614666622338          
54.00000005029142         2.751550763479339          -111.025314068923           
54.99999996973202         2.802627401411312          -110.9891580432654          
55.99999988917261         2.853702610748828          -110.9529985214089          
57.00000012293458         2.904776365098539          -110.9168354408005          
58.00000004237518         2.955848638059262          -110.8806687349294          
58.99999996181577         3.006919403221841          -110.8444983412112          
59.99999988125637         3.057988639109224          -110.8083241954336          
61.00000011501834         3.109056309411472          -110.7721462355699          
62.00000003445894         3.160122392638863          -110.7359643947548          
62.99999995389953         3.211186862348944          -110.6997786103372          
63.99999987334013         3.262249692090584          -110.6635888183361          
65.0000001071021          3.313310855403831          -110.6273949560659          
66.00000002654269         3.364370325819769          -110.5911969568873          
66.99999994598329         3.415428076860386          -110.554994758076           
67.99999986542389         3.466484082038426          -110.5187882955815          
69.00000009918585         3.517538314857246          -110.4825775066462          
70.00000001862645         3.568590748810672          -110.4463623245559          
70.99999993806705         3.61964135738287           -110.4101426865152          
71.99999985750765         3.670690114048191          -110.3739185283966          
73.00000009126961         3.721736992271035          -110.337689787366           
74.00000001071021         3.772781965505703          -110.3014563966331          
74.99999993015081         3.823825007196267          -110.2652182933206          
75.9999998495914          3.874866090776413          -110.2289754132228          
77.00000008335337         3.925905189669317          -110.1927276934246          
78.00000000279397         3.976942277287476          -110.1564750670522          
78.99999992223457         4.02797732703259           -110.1202174711481          
80.00000015599653         4.079010312295413          -110.0839548427352          
81.00000007543713         4.1300412064556            -110.0476871148704          
81.99999999487773         4.181069982881573          -110.0114142245359          
82.99999991431832         4.232096614930383          -109.9751361073744          
84.00000014808029         4.283121075947555          -109.9388527003165          
85.00000006752089         4.33414333926695           -109.9025639363328          
85.99999998696148         4.38516337821063           -109.8662697523098          
86.99999990640208         4.436181166088693          -109.8299700838012          
88.00000014016405         4.487196676199162          -109.7936648676465          
89.00000005960465         4.538209881827797          -109.7573540367203          
89.99999997904524         4.589220756248001          -109.7210375278155          
90.99999989848584         4.640229272720645          -109.6847152763862          
92.00000013224781         4.691235404493929          -109.6483872191743          
93.0000000516884          4.742239124803236          -109.6120532889592          
93.999999971129           4.793240406870997          -109.5757134224339          
94.9999998905696          4.844239223906543          -109.5393675549486          
96.00000012433156         4.895235549105963          -109.5030156231448          
97.00000004377216         4.946229355651939          -109.4666575596989          
97.99999996321276         4.997220616713634          -109.4302933011982          
98.99999988265336         5.048209305446527          -109.3939227828908          
100.0000001164153         5.099195394992267          -109.3575459413122          
101.0000000358559         5.150178858478541          -109.3211627090277          
101.9999999552965         5.201159669018916          -109.2847730225179          
102.9999998747371         5.252137799712704          -109.2483768169212          
104.0000001084991         5.303113223644803          -109.2119740286606          
